game_id,player_id,model_name,role,team,outcome,won,num_turns
55505,0,qwen/qwen-turbo,Doctor,Village,Mafia reached parity with villagers. Mafia wins!,False,2
55511,4,qwen/qwen-turbo,Doctor,Village,Mafia reached parity with villagers. Mafia wins!,False,6
55529,3,google/gemini-2.0-flash-lite-001,Villager,Village,All Mafia were eliminated. Village wins!,True,8
55534,5,T1-Base-Gemini-Akash-V1,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,4
55546,2,ZeroR-SecretMafia-v2,Doctor,Village,Mafia reached parity with villagers. Mafia wins!,False,7
55570,0,T1-Base-Gemini-Akash-V1,Doctor,Village,Mafia reached parity with villagers. Mafia wins!,False,5
55585,0,T1-Base-Gemini-Akash-V1,Villager,Village,All Mafia were eliminated. Village wins!,True,4
55589,3,meta-llama/llama-4-scout,Mafia,Mafia,All Mafia were eliminated. Village wins!,False,6
55615,4,meta-llama/llama-4-maverick,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,4
55624,3,T1-Base-Gemini-Akash-V1,Doctor,Village,Mafia reached parity with villagers. Mafia wins!,False,5
55625,2,google/gemini-2.0-flash-lite-001,Mafia,Mafia,All Mafia were eliminated. Village wins!,False,5
55626,4,qwen/qwen-turbo,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,3
55634,0,meta-llama/llama-4-scout,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,5
55637,5,meta-llama/llama-4-maverick,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,13
55643,4,google/gemini-2.0-flash-lite-001,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,9
55652,5,google/gemini-2.0-flash-lite-001,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,6
55659,5,qwen/qwen-turbo,Doctor,Village,Mafia reached parity with villagers. Mafia wins!,False,5
55676,4,google/gemini-2.0-flash-001,Doctor,Village,Mafia reached parity with villagers. Mafia wins!,False,5
55679,1,qwen/qwen-turbo,Mafia,Mafia,All Mafia were eliminated. Village wins!,False,11
55682,3,google/gemini-2.0-flash-lite-001,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,6
55698,0,meta-llama/llama-4-maverick,Mafia,Mafia,All Mafia were eliminated. Village wins!,False,10
55701,5,google/gemini-2.0-flash-lite-001,Villager,Village,All Mafia were eliminated. Village wins!,True,4
55705,5,google/gemma-3-12b-it,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,5
55716,2,google/gemini-2.0-flash-001,Villager,Village,All Mafia were eliminated. Village wins!,True,5
55719,4,meta-llama/llama-4-maverick,Doctor,Village,All Mafia were eliminated. Village wins!,True,9
55719,3,google/gemma-3-12b-it,Mafia,Mafia,All Mafia were eliminated. Village wins!,False,12
55722,3,google/gemma-3-12b-it,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,5
55728,0,google/gemma-3-12b-it,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,5
55736,0,qwen/qwen-turbo,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,4
55766,0,meta-llama/llama-4-scout,Detective,Village,All Mafia were eliminated. Village wins!,True,6
55768,0,google/gemma-3-12b-it,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,5
55856,3,ZeroR-SecretMafia-v3.2,Villager,Village,All Mafia were eliminated. Village wins!,True,5
55979,5,google/gemini-2.0-flash-001,Detective,Village,All Mafia were eliminated. Village wins!,True,5
56023,1,ZeroR-SecretMafia-v2,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,5
56025,4,ZeroR-SecretMafia-v2,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,6
56030,3,ZeroR-SecretMafia-v2,Doctor,Village,Mafia reached parity with villagers. Mafia wins!,False,6
56091,0,meta-llama/llama-4-maverick,Villager,Village,All Mafia were eliminated. Village wins!,True,8
56207,1,meta-llama/llama-4-maverick,Mafia,Mafia,All Mafia were eliminated. Village wins!,False,5
56207,0,qwen/qwen-turbo,Detective,Village,All Mafia were eliminated. Village wins!,True,6
56215,0,google/gemma-3-12b-it,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,10
56217,4,qwen/qwen-turbo,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,6
56285,1,qwen/qwen-plus,Detective,Village,All Mafia were eliminated. Village wins!,True,6
56303,0,qwen/qwen-turbo,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,4
56308,0,meta-llama/llama-4-maverick,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,6
56316,5,qwen/qwen-turbo,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,7
56335,0,google/gemini-2.0-flash-001,Mafia,Mafia,All Mafia were eliminated. Village wins!,False,11
56354,1,google/gemma-3-12b-it,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,5
56354,3,meta-llama/llama-4-scout,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,5
56405,1,T1-Base-Gemini-Akash-V2,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,5
56409,0,qwen/qwen-plus,Doctor,Village,All Mafia were eliminated. Village wins!,True,10
56418,2,qwen/qwen-turbo,Mafia,Mafia,All Mafia were eliminated. Village wins!,False,5
56442,1,T1-Base-Gemini-Akash-V2,Doctor,Village,Mafia reached parity with villagers. Mafia wins!,False,1
56457,3,qwen/qwen-turbo,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,5
56477,1,qwen/qwen-plus,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,4
56481,1,meta-llama/llama-4-scout,Villager,Village,All Mafia were eliminated. Village wins!,True,8
56654,4,google/gemma-3-12b-it,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,5
56803,3,Qwen3-235B-A22B-Instruct-2507-yt-v1-T1,Doctor,Village,All Mafia were eliminated. Village wins!,True,6
56831,4,Qwen3-235B-A22B-Instruct-2507-yt-v1-T1,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,6
56831,3,google/gemma-3-12b-it,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,5
56853,0,qwen/qwen-turbo,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,2
56866,4,Qwen3-235B-A22B-Instruct-2507-yt-v1-T1,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,6
56910,0,Qwen3-235B-A22B-Instruct-2507-yt-v1-T1,Villager,Village,All Mafia were eliminated. Village wins!,True,5
56910,5,google/gemini-2.0-flash-001,Mafia,Mafia,All Mafia were eliminated. Village wins!,False,5
56910,1,meta-llama/llama-4-scout,Villager,Village,All Mafia were eliminated. Village wins!,True,4
56922,0,Qwen3-235B-A22B-Instruct-2507-yt-v1-T1,Detective,Village,All Mafia were eliminated. Village wins!,True,6
56996,1,Qwen3-235B-A22B-Instruct-2507-yt-v3-T1,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,1
57032,3,qwen/qwen-turbo,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,2
57032,4,google/gemma-3-12b-it,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,1
57070,2,Qwen3-235B-A22B-Instruct-2507-yt-v3-T1,Doctor,Village,All Mafia were eliminated. Village wins!,True,10
57070,1,qwen/qwen-plus,Mafia,Mafia,All Mafia were eliminated. Village wins!,False,1
57074,1,google/gemma-3-12b-it,Detective,Village,All Mafia were eliminated. Village wins!,True,1
57104,4,google/gemini-2.0-flash-lite-001,Doctor,Village,All Mafia were eliminated. Village wins!,True,7
57104,1,qwen/qwen-plus,Detective,Village,All Mafia were eliminated. Village wins!,True,6
57151,0,google/gemini-2.0-flash-001,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,10
57193,4,google/gemma-3-12b-it,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,5
57246,1,meta-llama/llama-4-scout,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,4
57250,5,qwen/qwen-turbo,Doctor,Village,Mafia reached parity with villagers. Mafia wins!,False,6
57303,0,google/gemma-3-12b-it,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,4
57321,1,qwen/qwen-plus,Doctor,Village,Mafia reached parity with villagers. Mafia wins!,False,10
57402,0,meta-llama/llama-4-scout,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,2
57452,2,qwen/qwen-plus,Detective,Village,All Mafia were eliminated. Village wins!,True,10
57513,4,Qwen3-235B-A22B-Instruct-2507-yt-v3-T1,Doctor,Village,All Mafia were eliminated. Village wins!,True,5
57552,4,google/gemini-2.0-flash-001,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,6
57621,5,Qwen3-235B-A22B-Instruct-2507-yt-v3-T1,Doctor,Village,All Mafia were eliminated. Village wins!,True,5
57625,4,qwen/qwen-plus,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,4
57637,4,qwen/qwen-turbo,Mafia,Mafia,All Mafia were eliminated. Village wins!,False,5
57759,4,google/gemini-2.0-flash-001,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,5
57781,1,qwen/qwen-turbo,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,4
57794,1,google/gemma-3-12b-it,Doctor,Village,All Mafia were eliminated. Village wins!,True,9
57896,4,qwen/qwen-turbo,Doctor,Village,Mafia reached parity with villagers. Mafia wins!,False,6
57896,3,Qwen3-235B-A22B-Instruct-2507-yt-v3-T1,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,5
57900,1,meta-llama/llama-4-maverick,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,5
57905,2,qwen/qwen-plus,Villager,Village,All Mafia were eliminated. Village wins!,True,4
57922,5,qwen/qwen-plus,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,5
57940,1,google/gemma-3-12b-it,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,1
57953,0,Qwen3-235B-A22B-Instruct-2507-yt-v3-T1,Detective,Village,All Mafia were eliminated. Village wins!,True,10
57964,3,google/gemini-2.0-flash-001,Detective,Village,All Mafia were eliminated. Village wins!,True,10
58020,4,Qwen3-235B-A22B-Instruct-2507-yt-v3-T1,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,5
58117,5,Qwen3-235B-A22B-Instruct-2507-yt-v3-T1,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,5
58117,1,qwen/qwen-turbo,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,5
58134,1,google/gemini-2.0-flash-001,Mafia,Mafia,All Mafia were eliminated. Village wins!,False,5
58170,0,meta-llama/llama-4-maverick,Doctor,Village,Mafia reached parity with villagers. Mafia wins!,False,1
58204,1,google/gemma-3-12b-it,Doctor,Village,All Mafia were eliminated. Village wins!,True,1
58253,5,google/gemma-3-12b-it,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,5
58291,2,qwen/qwen-turbo,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,6
58305,1,qwen/qwen-plus,Doctor,Village,Mafia reached parity with villagers. Mafia wins!,False,1
58364,5,qwen/qwen-turbo,Mafia,Mafia,All Mafia were eliminated. Village wins!,False,5
58394,5,Qwen3-235B-A22B-Instruct-2507-yt-v3-T1,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,5
58486,4,Qwen3-235B-A22B-Instruct-2507-yt-v3-T1,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,5
58504,1,google/gemma-3-12b-it,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,6
58509,0,Qwen3-235B-A22B-Instruct-2507-yt-v3-T1,Detective,Village,All Mafia were eliminated. Village wins!,True,6
58516,1,meta-llama/llama-4-maverick,Villager,Village,All Mafia were eliminated. Village wins!,True,5
58609,0,google/gemma-3-12b-it,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,5
58685,3,google/gemma-3-12b-it,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,6
58913,1,qwen/qwen-turbo,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,2
58913,0,qwen/qwen-plus,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,5
58957,3,Qwen3-235B-A22B-Instruct-2507-yt-v3-T1,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,5
58975,3,google/gemini-2.0-flash-001,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,4
58980,5,google/gemini-2.0-flash-001,Doctor,Village,All Mafia were eliminated. Village wins!,True,5
59151,3,google/gemma-3-12b-it,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,6
59159,3,qwen/qwen-turbo,Doctor,Village,Mafia reached parity with villagers. Mafia wins!,False,10
59159,5,google/gemini-2.0-flash-001,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,10
59159,0,meta-llama/llama-4-maverick,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,11
59291,2,meta-llama/llama-4-maverick,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,5
59317,3,google/gemini-2.0-flash-lite-001,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,6
59337,4,meta-llama/llama-4-scout,Villager,Village,All Mafia were eliminated. Village wins!,True,4
59357,1,google/gemini-2.0-flash-001,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,5
59374,5,Qwen3-235B-A22B-Instruct-2507-yt-v3-T1,Villager,Village,All Mafia were eliminated. Village wins!,True,8
59448,0,qwen/qwen-2.5-7b-instruct,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,4
59465,5,Qwen3-235B-A22B-Instruct-2507-yt-v3-T1,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,5
59519,0,Qwen3-235B-A22B-Instruct-2507-yt-v3-T1,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,10
59592,3,qwen/qwen-2.5-7b-instruct,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,7
59605,5,moonshotai/kimi-k2,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,4
59637,5,qwen/qwen-plus,Doctor,Village,All Mafia were eliminated. Village wins!,True,7
59637,4,Qwen3-235B-A22B-Instruct-2507-yt-v3-T1,Villager,Village,All Mafia were eliminated. Village wins!,True,4
59695,2,google/gemini-2.0-flash-001,Mafia,Mafia,All Mafia were eliminated. Village wins!,False,5
59695,4,qwen/qwen-turbo,Mafia,Mafia,All Mafia were eliminated. Village wins!,False,2
59913,3,qwen/qwen-plus,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,5
59938,4,meta-llama/llama-4-scout,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,4
60084,3,Qwen3-235B-A22B-Instruct-2507-yt-v3-T1,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,2
60212,0,qwen/qwen-plus,Villager,Village,All Mafia were eliminated. Village wins!,True,4
60294,5,meta-llama/llama-4-maverick,Villager,Village,All Mafia were eliminated. Village wins!,True,4
60294,2,google/gemini-2.0-flash-001,Doctor,Village,All Mafia were eliminated. Village wins!,True,1
60761,2,qwen/qwen-plus,Doctor,Village,Mafia reached parity with villagers. Mafia wins!,False,1
60844,5,google/gemini-2.0-flash-001,Villager,Village,All Mafia were eliminated. Village wins!,True,4
60868,4,qwen/qwen-turbo,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,4
60919,2,Qwen3-235B-A22B-Instruct-2507-yt-v3-T1,Villager,Village,All Mafia were eliminated. Village wins!,True,4
60967,3,meta-llama/llama-4-maverick,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,5
60967,0,meta-llama/llama-4-scout,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,1
61003,5,google/gemma-3-12b-it,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,7
61030,1,Mafia_Gemini_Balanced,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,4
61050,0,google/gemma-3-12b-it,Doctor,Village,Mafia reached parity with villagers. Mafia wins!,False,1
61129,3,meta-llama/llama-4-scout,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,1
61186,1,meta-llama/llama-4-maverick,Mafia,Mafia,All Mafia were eliminated. Village wins!,False,5
61189,3,google/gemma-3-12b-it,Doctor,Village,Mafia reached parity with villagers. Mafia wins!,False,6
61189,5,qwen/qwen-turbo,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,4
61243,3,qwen/qwen-2.5-7b-instruct,Mafia,Mafia,All Mafia were eliminated. Village wins!,False,2
61284,2,google/gemini-2.0-flash-001,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,5
61337,1,qwen/qwen-plus,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,5
61386,1,qwen/qwen-turbo,Villager,Village,All Mafia were eliminated. Village wins!,True,8
61401,5,qwen/qwen-turbo,Doctor,Village,Mafia reached parity with villagers. Mafia wins!,False,15
61434,1,google/gemini-2.0-flash-001,Mafia,Mafia,All Mafia were eliminated. Village wins!,False,5
61454,2,meta-llama/llama-4-maverick,Detective,Village,All Mafia were eliminated. Village wins!,True,11
61538,1,google/gemini-2.0-flash-001,Doctor,Village,Mafia reached parity with villagers. Mafia wins!,False,5
61551,3,qwen/qwen-turbo,Mafia,Mafia,All Mafia were eliminated. Village wins!,False,5
61611,3,google/gemini-2.0-flash-001,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,6
61660,5,google/gemma-3-12b-it,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,6
61679,5,M4_V1,Villager,Village,All Mafia were eliminated. Village wins!,True,4
61703,5,Qwen3-235B-A22B-Instruct-2507-yt-v3-T1,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,6
61741,5,google/gemma-3-12b-it,Doctor,Village,Mafia reached parity with villagers. Mafia wins!,False,6
61764,2,google/gemini-2.0-flash-001,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,4
61789,4,Qwen3-235B-A22B-Instruct-2507-yt-v3-T1,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,10
62600,5,google/gemini-2.0-flash-lite-001,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,5
62644,4,M0_V1,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,4
62704,5,M1_V2,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,2
62707,1,Breaking Bad LLM agent - Track 1 - Zep7hyr_v4,Detective,Village,All Mafia were eliminated. Village wins!,True,5
62709,0,google/gemini-2.0-flash-001,Detective,Village,All Mafia were eliminated. Village wins!,True,10
62746,0,google/gemini-2.0-flash-001,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,5
62847,3,qwen/qwen-turbo,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,2
63067,2,M6_V1,Doctor,Village,Mafia reached parity with villagers. Mafia wins!,False,10
63102,1,google/gemini-2.0-flash-001,Doctor,Village,Mafia reached parity with villagers. Mafia wins!,False,1
63220,3,Breaking Bad LLM agent - Track 1 - Zep7hyr_v4,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,6
63264,3,qwen/qwen-turbo,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,8
64244,5,ac2c54b1-465b-4d6c-bdc7-aae5b383d862 Mafia,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,2
65836,0,google/gemini-2.0-flash-lite-001,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,8
65841,5,google/gemini-2.0-flash-lite-001,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,5
67118,2,google/gemma-3-12b-it,Doctor,Village,Mafia reached parity with villagers. Mafia wins!,False,1
67698,3,moonshotai/kimi-k2,Villager,Village,All Mafia were eliminated. Village wins!,True,4
68712,5,qwen/qwen-turbo,Detective,Village,All Mafia were eliminated. Village wins!,True,6
68847,1,meta-llama/llama-4-scout,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,7
69773,3,qwen/qwen-turbo,Doctor,Village,All Mafia were eliminated. Village wins!,True,10
69779,2,qwen/qwen-plus,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,4
70325,5,m5_p5,Doctor,Village,Mafia reached parity with villagers. Mafia wins!,False,10
70349,2,google/gemini-2.0-flash-001,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,1
70349,3,moonshotai/kimi-k2,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,5
70362,0,meta-llama/llama-4-maverick,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,11
70375,4,meta-llama/llama-4-maverick,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,4
70400,1,qwen/qwen-plus,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,5
70440,0,moonshotai/kimi-k2,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,4
70444,0,qwen/qwen-turbo,Doctor,Village,Mafia reached parity with villagers. Mafia wins!,False,6
70488,5,meta-llama/llama-4-scout,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,4
70498,0,meta-llama/llama-4-maverick,Doctor,Village,All Mafia were eliminated. Village wins!,True,6
70512,4,google/gemini-2.0-flash-lite-001,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,5
70515,4,m5_p5,Doctor,Village,Mafia reached parity with villagers. Mafia wins!,False,1
70534,3,meta-llama/llama-4-maverick,Mafia,Mafia,All Mafia were eliminated. Village wins!,False,6
70540,1,google/gemini-2.0-flash-001,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,1
70553,4,m5_p5,Villager,Village,All Mafia were eliminated. Village wins!,True,4
70558,0,qwen/qwen-turbo,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,11
70558,4,qwen/qwen-plus,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,8
71608,5,google/gemma-3-12b-it,Doctor,Village,All Mafia were eliminated. Village wins!,True,10
71608,4,Bathini T1,Detective,Village,All Mafia were eliminated. Village wins!,True,11
72011,0,qwen/qwen-turbo,Villager,Village,Mafia reached parity with villagers. Mafia wins!,False,4
72014,1,qwen/qwen-plus,Doctor,Village,Mafia reached parity with villagers. Mafia wins!,False,1
73918,0,google/gemma-3-12b-it,Doctor,Village,Mafia reached parity with villagers. Mafia wins!,False,5
73937,3,qwen/qwen-turbo,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,5
73943,0,RLGame-ft,Detective,Village,All Mafia were eliminated. Village wins!,True,6
73965,5,qwen/qwen-plus,Detective,Village,Mafia reached parity with villagers. Mafia wins!,False,5
74839,5,google/gemini-2.0-flash-lite-001,Doctor,Village,Mafia reached parity with villagers. Mafia wins!,False,6
75422,1,meta-llama/llama-4-maverick,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,6
75468,2,Enhanced Google AI Studio Mafia Agent v2,Mafia,Mafia,Mafia reached parity with villagers. Mafia wins!,True,6
